name,price,location,rating,sold,details_link
vivo Y21T [6/128] RAM 6GB ROM 128GB Pearl White,Rp2.239.000,Kab. Tangerang,4.9,Terjual 500+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Kao_HhH_1pbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHZFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUsthoA1Fbm-0g9BRQR-j9fBjUstao_rdHsedo_jabm-xgVYpyfYagZUEoAjNbs17HpUpHpUNopURHpnObm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8jhkz9Po8BJF_7z-H7N1gp-oqjJa_Oo-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7hkz9B6qMrp_Bo-r7BWo9giQ1NDZ325q1NIu9BouVJa3jzVPJNI3MOvepnF_92o8jh1gpo6uco73jz-81OJeMhouczk3MO3q1B2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325q3zIH_xMzReF3A-G83UazMW-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoe7BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qBVd_3j7P7NJyRP68jj7_7zoP7YJqRx-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiHsB63MzwoR-juIovHS-CzRop61YdZBBFQcYSZfx0HugI_jYJHJhEq7BR_OYMocN1qsP3Zfu7rjzk3JHpucJpyMz1_I2h97zhu7hM_1NBuc-9z3jW_AoDQ1P3y7Wpz32auBtFQVVA1fVDuSPAyS2VPsBV6c-UepBtg12oof2WPAribm-xQcri6i-0PVYirMYxgVY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUsthoAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUaomUDUsHFo_eibmUpHA1dUiFiHpnOoZUDUsHFopHibmUpHA1fUB7DUMPaQRuF9Ro7rMV7g3PNUs2QHZFa9ZFirMuDg9gxQMoB9RosQR-BUstFbsKNHpJp6AypoAUaHpyh6_eDUSCaq3oB9f-2gmUEH_eOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstNHprXHsrOHsyF6_1poArOoiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmddopyaoseOo_Uao_UNHAHawe?r=https%3A%2F%2Fwww.tokopedia.com%2Fvivo%2Fvivo-y21t-6-128-ram-6gb-rom-128gb-pearl-white%3FextParam%3Divf%253Dfalse%26src%3Dtopads&page=1&t=desktop&ob=23&management_type=1&src=search&dv=desktop&keywords=handphone&is_search=1
"realme narzo 50A Prime 4/64GB (Powerful Unisoc T612 Processor, 5000mAh - Flash Black",Rp1.899.000,Tangerang,4.9,Terjual 1 rb+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_1OopUNo_1Obm-xgVY789CBUsthbm-FQRo2PcB5QiUEHiFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUstho_nFbm-0g9BRQR-j9fBjUstaHsjhH_JaH_JObm-xgVYpyfYagZUEoAyNbsKdo_Up6_KNH_176_eDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1jF_c2VH1OEqpCozJuE_jzoo1Okz_zo17BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2V8jO1Z_V-q9P2yM7NPujau3Bvq1jF3Bz-8JNJ3MWo1pnF3MOgoJh1192o8jO7_7zsH1NNH3WoqjBR_1Pu8Jda_MOqu7B2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MggQj2f3uPzq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OEgpoHqB17_92sHJNke_o6qjVd_92uHJBXHA7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6iUa61NqgV4RrMz1r74arjVIrRHN_RxG39CDQfPbqcDhujP6_7eF_I20Z9Pv9fy7QBzkoOgbg9zazc2yepo1y_oigVzH8SVwzIV9_cgo_Mu1yBPVqZOHHfhWzOgsZRoVqS-33sCD11o_y3h3P7oi8juf611dyjxA63xBZj7RqMO7oaUDUMVDgaUEUMW79f-aQfVj9RzWUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UiFiHpnOomUDUsHFo_KibmUpHA1OUiFiHpnRHaUDUsHFo_yi9ZFirMuDg9gxQMoB9RosQR-BUstFbsKd6Ajd6_rfH_eRHpedoZFirI-2yfuwyMBjUstho_nFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sKOoZdpo_Kdo_1FHpK7osK7bm-hP3ua8uYag3hay3N09RosQR-BUstFbsKaHAHOosjpoAKd6ArNopxY?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Frealme%2Frealme-narzo-50a-prime-4-64gb-powerful-unisoc-t612-processor-5000mah-flash-black%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&is_search=1&keywords=handphone&management_type=1&dv=desktop&page=1&ob=23
Advan Nasaplus 2GB 16GB Smartphone Android10 Quadcore Garansi Resmi,Rp845.000,Jakarta Barat,4.9,Terjual 750+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_rpHse7o_URbm-xgVY789CBUsthbm-FQRo2PcB5QiUEHaFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUsth6AnFbm-0g9BRQR-j9fBjUsth6_jNo_jFHAHRbm-xgVYpyfYagZUEoAeRbsHFH_nh6A1f6_jNo_1fbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81hk1_C6uVjh_32VH7OEqRxo8jJF_92uq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAoIx6ucHhZ3BRq3-W69ugHBu2_fB-HV21Z9x6zV20_uHFHV2W3_zHuVVE_92oPJYJypV68_V0_32-P7OIu9x6HjNW3BP-q1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGHc-y8AxxHO-M33NGPBB913BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9P-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBo8Bj7_c20H1N1Z9Po8MoR_32zoJOJz_--QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiHsB63MzwoR-juIovHS-CzRop61YdZBBFQcYSZfx0HugI_jYJHJhEq7BR_OYMocN1qsP3Zfu7rjzk3JHpucJpyMz1_I2h97zhu7hM_1NBuc-9z3jW_AoDQ1P3y7Wpz32auBtFQVVA1fVDuSPAyS2VPsBV6c-UepBtg12oof2WPAribm-xQcri6i-0PVYirMYxgVY7QZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfoZFaomFpHA179ZFiQBYsy3Njq3zxPcuwy3zpUsthoAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUaomUDUsHFo_eibmUpHA1dUiFiHpnOoZUDUsHFopHibmUpHA1fUB7DUS-BQcufy3NsguYpyfYagZUEHmddH_jNHAUp6_17HAUFoA1pbm-FrMBsguYiq3ei6sJdHAnDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUE6AehbsUf6_1hoAnaosj7opKDUSVOg9-N9R-BQI-xQMWwrfo5rM1i6snX6AKFopydH_yF6AJO6A1aH97?t=desktop&src=search&page=1&management_type=1&keywords=handphone&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fadvan-official%2Fadvan-nasaplus-2gb-16gb-smartphone-android10-quadcore-garansi-resmi-hitam%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1
OPPO A31 RAM 6/128 GB GARANSI TOKO 1 TAHUN,Rp959.000,Jakarta Barat,4.9,Terjual 250+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_rdHsnhH_e7bm-xgVY789CBUsthbm-FQRo2PcB5QiUEomFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUsthHAnFbm-0g9BRQR-j9fBjUstaHpUp6AHp6_rhbm-xgVYpyfYagZUEoAeabsyhosHF6_npHp1do_J7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8jhku_C6uJ7h_OzsHJY1yR2vuJOd_uzuq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAoIPvzcHh_1zCP7OJe9PozJVR_1zCP7O_Z9o-Q_ufyMO6QJBkQfB6zOuN_uzzHB2Jz9z6zO2W_7HFHJOE_92Hucrp_BzsPV2JZ9BozJ-D_uzjqB2WuMB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBjzpJdgjP7HVKaZSBiHjg0Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32oHjN_oIPvuJuR_92Vo1NJgpuoqMPR_BoG6ZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUsUN_B2j9pPagVzp_p-ae1PprpBv8J2grch5g7WtqpV3z7NvzACH8MW-P7YwgszXuctRujWBPI-JqBxAHOzxHf-juJhEruYJruPHgjO6guziu7u2b1FpQcOIuMobr7ukrBgqHchzeOoxQVgRef-Ez9yNz_xiZJHNqcuG__PkQ9eRUiFiy3hSUstiqRzwyS-5y3zwPc7ibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnOoV7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHseibmUpHA17UiFiHpnO6mUDUsHFo_1ibmUpHArpUiFiHpnOoi-Pbm-ag3hBPMVXyfuwrfo5rM1i6snX6AKOHpedHsrRopyh6_Kh6mFirI-2yfuwyMBjUsthHAnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6sKFoadho_r7HpeNHpUNHs17bm-hP3ua8uYag3hay3N09RosQR-BUstFbsKaHpyFo_URHsyNH_1fo_BY?r=https%3A%2F%2Fwww.tokopedia.com%2Fdafu99%2Foppo-a31-ram-6-128-gb-garansi-toko-1-tahun-hitam%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=handphone&page=1&is_search=1&t=desktop&dv=desktop&management_type=1&ob=23&src=search
Advan Nasaplus 2GB 16GB Smartphone Android10 Quadcore - DEEP BLUE,Rp849.000,Jakarta Utara,5.0,Terjual 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_K7HAHfH_ydbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoZFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUsthoAnFbm-0g9BRQR-j9fBjUstaosHR6_rf6_j7bm-xgVYpyfYagZUEoAU7bs1h6AjNosrdop1RHp1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32CP1O1Z9B6zcDO_Oz0o1Y1qpuvucDO_OzSq1hAZSuiHsuk3Bo-ojBk1Mhoqj1F_MOz8Jh11MOqqMP7_jzo8jONHAz68B1p_VPz81Oke9PquJ1p3_-qQVB2Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBX1SzMZIxagJyNq3oW63xqe7BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjV2_JoG8Bja69BqusBE3BPc8ujagfBvq1BE_BzCP1O13926uJJa_1zso1OE1_C6qBV2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUsUN_B2j9pPagVzp_p-ae1PprpBv8J2grch5g7WtqpV3z7NvzACH8MW-P7YwgszXuctRujWBPI-JqBxAHOzxHf-juJhEruYJruPHgjO6guziu7u2b1FpQcOIuMobr7ukrBgqHchzeOoxQVgRef-Ez9yNz_xiZJHNqcuG__PkQ9eRUiFiy3hSUstiqRzwyS-5y3zwPc7ibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHsrfbAHFopoPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UiFiHpnOomUDUsHFo_KibmUpHA1OUiFiHpnRHaUDUsHFo_yi9ZFirMuDg9gxQMoB9RosQR-BUstFbsrNopKRoAKFH_HaopHFHsjDUSCaq3oB9f-2gmUEH_eFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstdHAJX6AURHsK7o_K7HpHNHiFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdd6AKR6_nhH_eO6AJa6_j7we?dv=desktop&keywords=handphone&page=1&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fadvanstore%2Fadvan-nasaplus-2gb-16gb-smartphone-android10-quadcore-deep-blue%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&t=desktop&src=search&management_type=1
Samsung Galaxy A04E 3/32 Garansi Resmi,Rp1.225.000,Jakarta Pusat,4.9,Terjual 1 rb+,https://www.tokopedia.com/mobilegeneration/samsung-galaxy-a04e-3-32-garansi-resmi-black?extParam=ivf%3Dfalse%26src%3Dsearch
PROMO Xiaomi Poco F4 Garansi Resmi,Rp5.225.000,Jakarta Pusat,5.0,Terjual 1 rb+,https://www.tokopedia.com/jikalaku/promo-xiaomi-poco-f4-garansi-resmi-green-8-256?extParam=ivf%3Dfalse%26src%3Dsearch
Samsung Galaxy A04 4/64 Garansi Resmi,Rp1.577.000,Jakarta Pusat,4.9,Terjual 1 rb+,https://www.tokopedia.com/mobilegeneration/samsung-galaxy-a04-4-64-garansi-resmi-black?extParam=ivf%3Dfalse%26src%3Dsearch
Samsung Galaxy A13 6/128GB 4/128GB Garasni SEIN 4 GB 6 GB 128 GB,Rp2.021.000,Jakarta Pusat,4.9,Terjual 6 rb+,https://www.tokopedia.com/distriponsel/samsung-galaxy-a13-6-128gb-4-128gb-garasni-sein-4-gb-6-gb-128-gb-non-bundle-4-64gb-black?extParam=ivf%3Dfalse%26src%3Dsearch
PROMO Xiaomi Redmi Note 11 4/128GB Garansi Resmi,Rp2.200.000,Jakarta Pusat,5.0,Terjual 2 rb+,https://www.tokopedia.com/jikalaku/promo-xiaomi-redmi-note-11-4-128gb-garansi-resmi-graphite-gray?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Poco M5,Rp2.078.000,Jakarta Pusat,5.0,Terjual 1 rb+,https://www.tokopedia.com/jikalaku/xiaomi-poco-m5-green-4-64gb?extParam=ivf%3Dfalse%26src%3Dsearch
Xiaomi Redmi 10C 4/64 GB Garansi Resmi Xiaomi Indonesia,Rp1.697.000,Jakarta Pusat,4.9,Terjual 1 rb+,https://www.tokopedia.com/garasii/xiaomi-redmi-10c-4-64-gb-garansi-resmi-xiaomi-indonesia-promo?extParam=ivf%3Dfalse%26src%3Dsearch
Samsung Galaxy A13 4/128 GB,Rp2.132.999,Jakarta Pusat,4.8,Terjual 250+,https://www.tokopedia.com/gccshopp/samsung-galaxy-a13-4-128-gb?extParam=ivf%3Dfalse%26src%3Dsearch
Samsung Galaxy A04e 4/64GB 3/32GB Garansi Resmi Samsung A04 e Not A13,Rp1.195.000,Jakarta Pusat,4.8,Terjual 750+,https://www.tokopedia.com/distriponsel/samsung-galaxy-a04e-4-64gb-3-32gb-garansi-resmi-samsung-a04-e-not-a13-a04e-random-non-bundle?extParam=ivf%3Dfalse%26src%3Dsearch
iPhone 13 Garansi Resmi,Rp13.749.000,Jakarta Barat,5.0,Terjual 2 rb+,https://www.tokopedia.com/ptpratamasemesta/iphone-13-garansi-resmi-128gb-midnight?extParam=ivf%3Dfalse%26src%3Dsearch
"realme narzo 50A Prime 4/128GB [5000mAh Battery,18W Quick Charge)",Rp1.999.000,Tangerang,4.9,Terjual 500+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yF6_yR6_Jdbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoiFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUstho_nFbm-0g9BRQR-j9fBjUstaHsjhH_JaH_JObm-xgVYpyfYagZUEoAHNbsnfosKhoAeFH_eN6AHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BN_c2gH7O1_9xoqBVN_S2zP7Y1qpzve7BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2V8jO1Z_V-q9P2yM7NPujau3Bvq1jF3Bz-8JNJ3MWo1pnF3MOgoJh1192o8jO7_7zsH1NNH3WoqjBR_1Pu8Jda_MOqu7B2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MggQj2f3uPzq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OE39BHqj1a_92-8jY1u_-6qjJh_1zS8jBXHA7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6iUa61NqgV4RrMz1r74arjVIrRHN_RxG39CDQfPbqcDhujP6_7eF_I20Z9Pv9fy7QBzkoOgbg9zazc2yepo1y_oigVzH8SVwzIV9_cgo_Mu1yBPVqZOHHfhWzOgsZRoVqS-33sCD11o_y3h3P7oi8juf611dyjxA63xBZj7RqMO7oaUDUMVDgaUEUMW79f-aQfVj9RzWUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UiFiHpnOomUDUsHFo_KibmUpHA1OUiFiHpnRHaUDUsHFo_yi9ZFirMuDg9gxQMoB9RosQR-BUstFbsKhoA1hHsjaopnFo_rOoAeDUSCaq3oB9f-2gmUEH_1FHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstR6AKXHAHNosyRosHO6_nRHaFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdR6_edHA1dHA1dHpJdo_yfwe?page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Frealme%2Frealme-narzo-50a-prime-4-128gb-5000mah-battery-18w-quick-charge-flash-black%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&is_search=1&keywords=handphone&t=desktop&ob=23&dv=desktop
Samsung Galaxy A23 6/128 RAM 6 ROM 128 GB 6GB 128GB,Rp3.017.000,Jakarta Utara,4.9,Terjual 250+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_eNHseaHs1fbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoaFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUstRo_nDUMWB89P5rMzwq3ei6sUfHsnhopraoAyDUMVj9RosQR-BUst7HsUXHpUhoArdopnposnNoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqMDp_M2g8jY1e926uVVd_7z-8jNNZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9PHqjJa_Bzg81N_Z9o-Q_ufyMO6QJBkQfB6zOuN_uzzHB2Jz9z6zO2W_7HFHJOE_92Hucrp_BzsPV2JZ9BozJ-D_uzjqB2WuMB-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBjzpJdgjP7HVKaZSBiHjg0Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_1o-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32oHJYAoI26uJJ7_7zSHJOJ192o8MoEZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUsUN_B2j9pPagVzp_p-ae1PprpBv8J2grch5g7WtqpV3z7NvzACH8MW-P7YwgszXuctRujWBPI-JqBxAHOzxHf-juJhEruYJruPHgjO6guziu7u2b1FpQcOIuMobr7ukrBgqHchzeOoxQVgRef-Ez9yNz_xiZJHNqcuG__PkQ9eRUiFiy3hSUstiqRzwyS-5y3zwPc7ibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnOoV7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHseibmUpHA17UiFiHpnO6mUDUsHFo_1ibmUpHArpUiFiHpnOoi-Pbm-ag3hBPMVXyfuwrfo5rM1i6snX6AKhHsjhopeFop1aH_yFoaFirI-2yfuwyMBjUstRo_nDUMP5y3hwq3ei6sUDUMg2QMVD9R-BQI-xQMWwy3zpyfYagZUEopKObsKfopnF6_KN6_rhoZFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmddosndHsyOHs1O6_Hd6_rawe?keywords=handphone&is_search=1&page=1&t=desktop&src=search&ob=23&management_type=1&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Forilink%2Fsamsung-galaxy-a23-6-128-ram-6-rom-128-gb-6gb-128gb-black-6-128gb%3FextParam%3Divf%253Dfalse%26src%3Dtopads
Xiaomi Official Redmi 10C 4/128GB Smartphone,Rp1.999.000,Jakarta Utara,4.9,Terjual 2 rb+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_1pH_yFH_n7bm-xgVY789CBUsthbm-FQRo2PcB5QiUE6mFiPcBWgZUEH_yRo_jpH_nhHiFiyRCsUstRHAnDUMWB89P5rMzwq3ei6sJposrFopr7os1DUMVj9RosQR-BUst7H_JXopjfHAKfoAUOHpUNHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z92HqB17_uz-HjNEZ9x68BBE_1zSH1NAZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9PHqjJa_uz-HJY1qpuvucDO_Oz0o1Y1qpu-q9P2yM7NPujau3Bvq1jF3Bz-8JNJ3MWo1pnF3MOgoJh1192o8jO7_7zsH1NNH3WoqjBR_1Pu8Jda_MOqu7B2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1tFyBxd6cJp1MggQj2f3uPzq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-P7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OE__uHqBja_OzCHJOEe_uozJ1O_7zo8jBXHA7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6iUa61NqgV4RrMz1r74arjVIrRHN_RxG39CDQfPbqcDhujP6_7eF_I20Z9Pv9fy7QBzkoOgbg9zazc2yepo1y_oigVzH8SVwzIV9_cgo_Mu1yBPVqZOHHfhWzOgsZRoVqS-33sCD11o_y3h3P7oi8juf611dyjxA63xBZj7RqMO7oaUDUMVDgaUEUMW79f-aQfVj9RzWUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyObAU7bAHFo_zPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsU7UiFiHpnOomUDUsHFo_KibmUpHA1OUiFiHpnRHaUDUsHFo_yi9ZFirMuDg9gxQMoB9RosQR-BUstFbsjpHsHpHs1NH_nOos17oAjDUSCaq3oB9f-2gmUEopnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6srRoaddoAKfHpnpopyhoAK7bm-hP3ua8uYag3hay3N09RosQR-BUstFbsKd6AjhopnFo_Haop1Ros-Y?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fxiaomi%2Fxiaomi-official-redmi-10c-4-128gb-smartphone-mint-green%3FextParam%3Divf%253Dfalse%26src%3Dtopads&keywords=handphone&dv=desktop&src=search&is_search=1&page=1&ob=23&management_type=1
